󱲆󱲇	6Y		ideographic space
󱲜	G	、︁	ideographic comma
󱲜󱲋	G3	。︁	ideographic full stop
󱲜󱲜	GG	「	left corner bracket
󱲜󱲜󱲋	GG3	」	right corner bracket
󱲆	6		start of cartouche
󱲇	Y		end of cartouche
󱲋	3	󱦜	interpunct
󱲌	A	󱦝	colon
󱲙󱲚󱲜	W2G		start of long pi
󱲙󱲚󱲋	W23		end of long pi
󱲚󱲃󱲜	2RG		start of extension
󱲃󱲚󱲜	R2G		start of extension
󱲚󱲃󱲋	2R3		end of extension
󱲃󱲚󱲋	R23		end of extension
󱲚󱲂󱲜	24G		start of reverse extension
󱲂󱲚󱲜	42G		start of reverse extension
󱲚󱲂󱲋	243		end of reverse extension
󱲂󱲚󱲋	423		end of reverse extension
󱲇󱲆	Y6		zero-width joiner
󱲇󱲃󱲆	YR6		stacking joiner
󱲇󱲎󱲆	YD6		scaling joiner
󱲇󱲅󱲆	YS6		scaling joiner
󱲙󱲋󱲋	W33	󱤀	a
󱲙󱲈󱲋	WE3	󱤀	a
󱲙󱲋󱲙󱲋	W3W3	󱤀󱤀󱤀	a a a
󱲋󱲋󱲚󱲚󱲚󱲈	33222E	󱤁	akesi
󱲈󱲚󱲚󱲚󱲋󱲋	E22233	󱤁	akesi
󱲂󱲃	4R	󱤂	ala
󱲉󱲙󱲚	1W2	󱤃	alasa
󱲉󱲙󱲚󱲃	1W2R	󱤃	alasa
󱲙󱲉󱲚	W12	󱤃	alasa
󱲙󱲉󱲚󱲃	W12R	󱤃	alasa
󱲈󱲉	E1	󱤄	ale
󱲈󱲃󱲔	ERT	󱤄󱤧󱥔	ale li pona *
󱲋󱲅󱲋	3S3	󱤅	anpa
󱲃󱲂	R4	󱤆	ante
󱲂󱲙	4W	󱤇	anu
󱲈󱲈󱲈󱲃	EEER	󱦡	apeja
󱲈󱲈󱲃󱲈	EERE	󱦡	apeja
󱲈󱲃󱲈󱲈	EREE	󱦡	apeja
󱲃󱲈󱲈󱲈	REEE	󱦡	apeja
󱲚󱲃󱲚	2R2	󱤈	awen
󱲃󱲃	RR	󱤉	e
󱲙󱲚󱲙	W2W	󱤊	en
󱲃󱲙󱲙	RWW	󱦃	epiku
󱲙󱲙󱲃	WWR	󱦃	epiku
󱲍󱲔	FT	󱦃	epiku *
󱲔󱲍	TF	󱦃	epiku *
󱲔󱲙󱲓	TW5	󱤋	esun
󱲈	E	󱤌	ijo
󱲓	5	󱤍	ike
󱲎󱲙	DW	󱤎	ilo
󱲙󱲎	WD	󱤎	ilo
󱲋󱲋󱲅󱲋󱲋	33S33	󱤏	insa
󱲅󱲋󱲋	S33	󱤏	insa
󱲐󱲐󱲐	QQQ	󱤐	jaki
󱲈󱲃	ER	󱤑	jan
󱲓󱲔󱲓󱲔󱲙	5T5TW	󱥿	jasima
󱲔󱲓󱲔󱲓󱲙	T5T5W	󱥿	jasima
󱲙󱲓󱲔󱲓󱲔	W5T5T	󱥿	jasima
󱲙󱲔󱲓󱲔󱲓	WT5T5	󱥿	jasima
󱲈󱲎󱲃󱲚	EDR2	󱤒	jelo
󱲈󱲔󱲚	ET2	󱤓	jo
󱲃󱲈	RE	󱤔	kala
󱲔󱲚󱲍	T2F	󱤕	kalama
󱲚󱲚󱲃	22R	󱤖	kama
󱲈󱲈󱲙	EEW	󱤗	kasi
󱲈󱲙󱲈	EWE	󱤗	kasi
󱲙󱲈󱲈	WEE	󱤗	kasi
󱲙󱲙󱲂	WW4	󱤘	ken
󱲎󱲐󱲙	DQW	󱤙	kepeken
󱲎󱲙󱲐	DWQ	󱤙	kepeken
